song_name,artist_name
My Heart Will Go On,Celine Dion
Bohemian Rhapsody,Queen
Let It Be,The Beatles
Imagine,John Lennon
Someone Like You,Adele
tears,Sabrina Carpenters
DAISIES,Justin Bieber
Golden,HUNTR/X
IRIS OUT,Kenshi Yonezu
Soda Pop,Saja Boys
Ordinary,Alex Warren
Folded,Kehlani
Safe,Cardi B
Manchild,Sabrina Carpenter
Man I Need,Olivia Dean
What I Want,Morgan Wallen & Tate McRae
Jump,Blackpink
wgft,Gunna & Burna Boy
Die With A Smile,Lady Gaga & Bruno Mars
Not Like Us,Kendrick Lamar
Magnet,Cardi B
Idea 10,Gibran Alcocer
Lights Are On,Edith Whiskers
Je te laisserai des mots,Noel.smt
Congratulations,Kim Bo
Drowning Love - Chasing You,Penguin Piano
Love Story,Indila
Beanie,Penguin Piano
Hiji de la Luna Piano Version,Penguin Piano
Never Meant to Belong,Bleach
Idea 22,Rain Version
New Home,Penguin Piano
ICARUS,Tony Ann
Runaway,The Blue Notes
Moments,Olexandr Ignatov
Moody Blue,James Malikey
Cordelia,Juan Arenosa
Golden Hour,Piano Instrumental
pure imagination,Piano Instrumental
birds of a feather,Piano Instrumental
golden chill,Piano Instrumental
pink pony club,Piano Instrumental
die with a smile,Chilled Pig
espresso,Chilled Pig
fortnight,Chilled Pig
beautiful things,Chilled Pig
I Ain't Worried,Chilled Pig
the subway,Chilled Pig
Ordinary,Chilled Pig
back to friends,Chilled Pig
daisies,Chilled Pig
that's so true,Chilled Pig
Talking to the moon,Piano Version
busy woman,Piano Version
back to friends,Piano Version
please please please,Piano Version
sailor song,Piano Version
Luther,Piano Version
wildflower,Piano Version
messy,Piano Version
Rivers Flows In You,Piano Version
blue,Piano Version
from the start,Piano Version
we can't be friends,Piano Version
number one girl,Piano Version
APT,Piano Version
toxic till the end,Piano Version
yellow,Piano Version
my love mine all mine,Piano Version
enchanted,Piano Version
I'm Good,Piano Version
taste,Piano Version
austin,Piano Version
I like the way you kiss me,Piano Version
good luck, babe!,Piano Version
beautiful things,Piano Version
stay,Piano Version
lose control,Piano Version
i had some help,Piano Version
I can do it with a broken heart,Piano Version
lunch,Piano Version
birds of a feather,Piano Version
Blinding Lights,Piano Version
Infinity,Piano Version
Cold Heart,Piano Version
Another Love,Piano Version
As It Was,Piano Version
Someone you loved,Piano Version
the night we met,Piano Version
drivers license,Piano Version
cruel summer,Piano Version
Shivers,Piano Version
All Too Well,Piano Version
greedy,Piano Version
what was I made for?,Piano Version
pure imagination,Piano Version
vampire,Piano Version
bye bye bye,Piano Version
Sunroof,Piano Version
slow it down,Piano Version
water,Piano Version
I want It that way,Brooklyn Duo
When I was your man,Piano Version
Too Sweet,Piano Version
I'm not the only one,Piano Version
apocalypse,Piano Version
someone like you,Piano Version
when the party's over,Piano Version
let it go,Piano Version
heather,Piano Version
dancing with your ghost,Piano Version
save your tears,Piano Version
hotline,Piano Version
the scientist,Piano Version
little do you know,Piano Version
When you wish upon a star,Piano Version
creep ,Piano Version
easy on me,Piano Version
It's you,Piano Version
my heart will go,Piano Version
lost boy,Piano Version
Kiss me more,Piano Version
